hex_id,geometry,pred_peak_month,pred_peak_share,area_weight_km2,wind_peak_month,wind_peak_share,wind_profile_metric,circular_peak_month_difference,signed_peak_month_shift,peak_month_share_difference,abs_peak_month_share_difference
1238,"POLYGON ((2949442.338357213 2083972.627058574, 2920575.248293825 2083972.6270562108, 2906141.703263509 2108972.2603922472, 2920575.2482965747 2133971.89372958, 2949442.338359909 2133971.893731926, 2963875.883390232 2108972.260396955, 2949442.338357213 2083972.627058574))",12,0.4366304112747924,2165.0000000225523,10,0.3088018689484094,frequency,2,2,0.12782854232638302,0.12782854232638302
1239,"POLYGON ((2949442.338359909 2133971.893731926, 2920575.2482965747 2133971.89372958, 2906141.7032662896 2158971.527064444, 2920575.248299331 2183971.160401576, 2949442.338362612 2183971.1604039003, 2963875.883392906 2158971.5270691086, 2949442.338359909 2133971.893731926))",2,0.6203720044052058,2164.999999979261,2,0.2304708817338427,frequency,0,0,0.3899011226713631,0.3899011226713631
1240,"POLYGON ((2949442.338362612 2183971.1604039003, 2920575.248299331 2183971.160401576, 2906141.7032690737 2208970.793737253, 2920575.248302089 2233970.4270741744, 2949442.338365316 2233970.42707647, 2963875.8833955824 2208970.7937418744, 2949442.338362612 2183971.1604039003))",2,0.2631319274218137,2165.0000000225523,1,0.2466014782101087,frequency,1,1,0.01653044921170499,0.01653044921170499
1241,"POLYGON ((2949442.338365316 2233970.42707647, 2920575.248302089 2233970.4270741744, 2906141.7032718575 2258970.0604086523, 2920575.248304844 2283969.6937453514, 2949442.338368016 2283969.693747624, 2963875.883398258 2258970.060413229, 2949442.338365316 2233970.42707647))",2,0.3664219883947468,2164.999999979261,12,0.2584367925612634,frequency,2,2,0.10798519583348343,0.10798519583348343
1242,"POLYGON ((2949442.338368016 2283969.693747624, 2920575.248304844 2283969.6937453514, 2906141.7032746365 2308969.327080635, 2920575.24830759 2333968.9604170993, 2949442.338370707 2333968.9604193433, 2963875.8834009273 2308969.327085154, 2949442.338368016 2283969.693747624))",2,0.3842610559999674,2165.0000000225523,12,0.2978149157006263,frequency,2,2,0.08644614029934111,0.08644614029934111
1243,"POLYGON ((2949442.338370707 2333968.9604193433, 2920575.24830759 2333968.9604170993, 2906141.703277404 2358968.593751171, 2920575.248310323 2383968.2270873967, 2949442.3383733854 2383968.227089611, 2963875.8834035834 2358968.5937556266, 2949442.338370707 2333968.9604193433))",5,0.2049342025544999,2164.999999979261,12,0.3234433015911844,frequency,5,5,-0.1185090990366845,0.1185090990366845
1244,"POLYGON ((2949442.3383733854 2383968.227089611, 2920575.248310323 2383968.2270873967, 2906141.7032801555 2408967.860422255, 2920575.2483130386 2433967.493758235, 2949442.3383760443 2433967.4937604093, 2963875.883406225 2408967.860426649, 2949442.3383733854 2383968.227089611))",1,0.3904311199668716,2165.0000000225523,1,0.3724525485077954,frequency,0,0,0.017978571459076165,0.017978571459076165
1316,"POLYGON ((2992742.973428661 1608979.593655602, 2963875.8833648562 1608979.5936532973, 2949442.3383341213 1633979.226989458, 2963875.8833671995 1658978.8603289374, 2992742.9734309604 1658978.8603312438, 3007176.5184616894 1633979.2269940728, 2992742.973428661 1608979.593655602))",6,0.2152149759319738,2165.000000022563,2,0.2215973331278903,frequency,4,4,-0.006382357195916483,0.006382357195916483
1317,"POLYGON ((2992742.9734309604 1658978.8603312438, 2963875.8833671995 1658978.8603289374, 2949442.3383365143 1683978.4936650414, 2963875.8833695995 1708978.1270034665, 2992742.97343332 1708978.127005793, 3007176.5184639976 1683978.4936696757, 2992742.9734309604 1658978.8603312438))",3,0.2520209330061845,2164.999999979252,2,0.2413066953113264,frequency,1,1,0.010714237694858103,0.010714237694858103
1319,"POLYGON ((2992742.973435729 1758977.3936811907, 2963875.883372054 1758977.393678861, 2949442.338341465 1783977.027014809, 2963875.883374556 1808976.6603530808, 2992742.973438184 1808976.6603554122, 3007176.5184687693 1783977.0270194695, 2992742.973435729 1758977.3936811907))",2,0.4061418472572171,2164.9999999792512,2,0.3653225356604969,frequency,0,0,0.0408193115967202,0.0408193115967202
