hex_id,pred_peak_month,pred_peak_share,area_weight_km2,wind_peak_month,wind_peak_share,wind_profile_metric,circular_peak_month_difference,signed_peak_month_shift,peak_month_share_difference,abs_peak_month_share_difference
1496,12,0.3915883297482986,2164.9999999292404,2,0.2895237231603676,frequency,2,-2,0.10206460658793098,0.10206460658793098
1497,1,0.1896811747534408,2164.9999999725514,2,0.2660724777179144,frequency,1,-1,-0.07639130296447363,0.07639130296447363
1498,1,0.1957714914043828,2164.9999999292404,2,0.21280009837693062,frequency,1,-1,-0.017028606972547822,0.017028606972547822
1499,2,0.2152310221878915,2164.9999999725514,2,0.2883177794270782,frequency,0,0,-0.0730867572391867,0.0730867572391867
1503,9,0.258244116574513,2164.9999999292504,2,0.2880444956683936,frequency,5,-5,-0.029800379093880558,0.029800379093880558
1504,3,0.2615600960225801,2164.999999972541,2,0.22670347129150503,frequency,1,1,0.03485662473107509,0.03485662473107509
1505,5,0.1706157255302268,2164.9999999292504,10,0.30652630913430384,frequency,5,-5,-0.13591058360407704,0.13591058360407704
1506,1,0.3991648664950439,2164.999999972541,12,0.2790851624926696,frequency,1,1,0.12007970400237428,0.12007970400237428
1525,1,0.2884136168113122,2164.9999999725414,1,0.37140404946748334,frequency,0,0,-0.08299043265617112,0.08299043265617112
1526,2,0.4103587289567985,2164.9999999292304,1,0.2603231833487664,frequency,1,1,0.15003554560803206,0.15003554560803206
1578,11,0.4407512987599031,2164.9999999792512,2,0.28271766254854336,frequency,3,-3,0.15803363621135974,0.15803363621135974
1579,9,0.3368455183439521,2165.000000022563,2,0.3069465467612191,frequency,5,-5,0.029898971582733025,0.029898971582733025
1581,2,0.4298840124726807,2164.9999999792517,10,0.25878769580802763,frequency,4,4,0.17109631666465308,0.17109631666465308
1582,2,0.2755341538888839,2165.000000022563,2,0.3378643492891961,frequency,0,0,-0.062330195400312205,0.062330195400312205
1583,12,0.3273548328431742,2164.9999999792517,1,0.23993617774144724,frequency,1,-1,0.08741865510172694,0.08741865510172694
1584,12,0.2190418388710661,2165.000000022563,2,0.30268340893900825,frequency,2,-2,-0.08364157006794215,0.08364157006794215
1585,11,0.5704947983172513,2164.9999999792517,10,0.24362759261818318,frequency,1,1,0.3268672056990681,0.3268672056990681
1586,10,0.2207090372210293,2165.000000022563,11,0.2030365443270194,frequency,1,-1,0.017672492894009906,0.017672492894009906
1587,12,0.2510718048591728,2164.9999999792517,1,0.24888896418144754,frequency,1,-1,0.0021828406777252563,0.0021828406777252563
1589,8,0.2080225274438774,2164.9999999792612,1,0.2990129012562047,frequency,5,-5,-0.09099037381232733,0.09099037381232733
1592,10,0.2363466546375365,2165.0000000225523,2,0.21194868820341498,frequency,4,-4,0.024397966434121537,0.024397966434121537
1593,1,0.3098771694673349,2164.9999999792612,2,0.22707532282799545,frequency,1,-1,0.08280184663933945,0.08280184663933945
1594,1,0.5173356118313591,2165.0000000225523,1,0.33303388898450587,frequency,0,0,0.18430172284685326,0.18430172284685326
1613,1,0.6160554585305958,2164.9999999792612,1,0.2742864610667768,frequency,0,0,0.34176899746381906,0.34176899746381906
1614,3,0.3528632471301851,2165.0000000225523,1,0.30905846925776886,frequency,2,2,0.04380477787241621,0.04380477787241621
1615,12,0.6847759107397171,2164.9999999792612,1,0.2085480105989233,frequency,1,-1,0.4762279001407938,0.4762279001407938
1618,12,0.426940336742083,2165.0000000225523,1,0.34769322081332216,frequency,1,-1,0.07924711592876083,0.07924711592876083
1666,12,0.2257880071437205,2165.000000022563,2,0.28545755688028485,frequency,2,-2,-0.05966954973656435,0.05966954973656435
1667,8,0.4300278865044617,2164.9999999792517,2,0.21966501558132062,frequency,6,6,0.2103628709231411,0.2103628709231411
1668,9,0.3179077156290251,2165.000000022563,10,0.24341748458348614,frequency,1,-1,0.07449023104553895,0.07449023104553895
1669,10,0.22729556308745,2164.9999999792512,2,0.2655038751056371,frequency,4,-4,-0.03820831201818711,0.03820831201818711
1670,12,0.250569082098621,2165.000000022563,10,0.29023652588190546,frequency,2,2,-0.03966744378328446,0.03966744378328446
1671,12,0.3636758289479856,2164.9999999792512,2,0.2886450678217593,frequency,2,-2,0.07503076112622631,0.07503076112622631
1672,10,0.3020874488029298,2165.000000022563,2,0.25322404111544683,frequency,4,-4,0.048863407687482985,0.048863407687482985
1674,9,0.2184501208328803,2165.000000022563,2,0.35169880353480965,frequency,5,-5,-0.13324868270192936,0.13324868270192936
1675,3,0.5038501952113477,2165.0000000225523,2,0.23160704385735356,frequency,1,1,0.27224315135399413,0.27224315135399413
1676,12,0.2621585113590338,2164.9999999792612,1,0.24827209382234816,frequency,1,-1,0.013886417536685625,0.013886417536685625
1679,4,0.2014309684163062,2165.0000000225523,12,0.21512983514856873,frequency,4,4,-0.013698866732262532,0.013698866732262532
1680,2,0.4438184964281371,2164.9999999792612,2,0.3496649967842649,frequency,0,0,0.09415349964387221,0.09415349964387221
1681,1,0.360383862788113,2165.0000000225523,1,0.2983367449136533,frequency,0,0,0.06204711787445971,0.06204711787445971
1700,12,0.6029194922204376,2165.0000000225527,1,0.39651969645222285,frequency,1,-1,0.20639979576821477,0.20639979576821477
1701,1,0.4108714787574866,2164.9999999792412,12,0.2297770594981943,frequency,1,1,0.1810944192592923,0.1810944192592923
1702,1,0.5812165569082212,2165.0000000225723,1,0.20904367164320686,frequency,0,0,0.3721728852650143,0.3721728852650143
1703,2,0.2796442447906779,2164.9999999792412,1,0.20955304067840935,frequency,1,1,0.07009120411226855,0.07009120411226855
1754,2,0.2520309783143658,2165.000000022563,2,0.31010541544437153,frequency,0,0,-0.05807443713000576,0.05807443713000576
1755,12,0.3536876433109152,2165.0000000225523,10,0.23175855904089027,frequency,2,2,0.12192908427002491,0.12192908427002491
1756,12,0.4393435927938316,2164.9999999792517,1,0.2474582222505422,frequency,1,-1,0.1918853705432894,0.1918853705432894
1757,10,0.2719583465255935,2165.000000022563,2,0.23137479128982888,frequency,4,-4,0.040583555235764596,0.040583555235764596
1762,2,0.4595071528691489,2164.9999999792517,2,0.2507851764575931,frequency,0,0,0.20872197641155582,0.20872197641155582
1763,12,0.3062994941380294,2165.0000000225523,2,0.24180122314952768,frequency,2,-2,0.06449827098850175,0.06449827098850175
1766,10,0.357270989119505,2164.9999999792612,1,0.24945367648214817,frequency,3,-3,0.10781731263735683,0.10781731263735683
1767,3,0.2776081522813835,2165.0000000225523,2,0.23488565049793195,frequency,1,1,0.04272250178345158,0.04272250178345158
1768,1,0.4210136879736871,2164.9999999792612,2,0.25134217429579025,frequency,1,-1,0.16967151367789685,0.16967151367789685
1788,12,0.2854666693145721,2164.9999999792612,1,0.3320158996005012,frequency,1,-1,-0.04654923028592911,0.04654923028592911
1789,12,0.3352024834915776,2165.0000000225523,12,0.3088162698909198,frequency,0,0,0.026386213600657793,0.026386213600657793
1790,2,0.3332535649026882,2164.9999999792612,1,0.21009104342437676,frequency,1,1,0.12316252147831144,0.12316252147831144
1792,2,0.5506255507277242,2164.9999999792612,1,0.30228466888276956,frequency,1,1,0.24834088184495468,0.24834088184495468
1793,12,0.3008089671070849,2165.0000000225523,12,0.32420452557524987,frequency,0,0,-0.02339555846816499,0.02339555846816499
1794,3,0.3355579531718113,2164.9999999792612,1,0.27079502839874753,frequency,2,2,0.06476292477306378,0.06476292477306378
1841,2,0.2088777788865944,2165.000000022563,2,0.26523137262842766,frequency,0,0,-0.05635359374183327,0.05635359374183327
1842,2,0.6385228222020745,2164.9999999792517,1,0.31654610237524294,frequency,1,1,0.3219767198268315,0.3219767198268315
1843,1,0.2344943639235438,2165.000000022563,2,0.33272824262509065,frequency,1,-1,-0.09823387870154685,0.09823387870154685
1844,2,0.5123378396363432,2164.9999999792512,2,0.23616117431518394,frequency,0,0,0.27617666532115925,0.27617666532115925
1850,2,0.2603893167206563,2165.0000000225523,1,0.23626753579526874,frequency,1,1,0.024121780925387554,0.024121780925387554
1851,3,0.2644173434304707,2164.9999999792612,1,0.33001228309229674,frequency,2,2,-0.06559493966182606,0.06559493966182606
